sensor-emulator: 2025/03/12 01:15:04 Starting sensor emulator...
sensor-emulator: 2025/03/12 01:15:04 Initialized 7 sensors
sensor-emulator: 2025/03/12 01:15:14 [motion] motion_living_room: false
sensor-emulator: 2025/03/12 01:15:14 [motion] motion_hallway: false
sensor-emulator: 2025/03/12 01:15:24 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:15:24 [motion] motion_living_room: false
sensor-emulator: 2025/03/12 01:15:34 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:15:34 [temperature] temp_kitchen: 28.907647023621127
sensor-emulator: 2025/03/12 01:15:34 [temperature] temp_bedroom: 22.639985300162394
sensor-emulator: 2025/03/12 01:15:34 [temperature] temp_living_room: 18.521316528591754
sensor-emulator: 2025/03/12 01:15:34 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:15:44 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:15:44 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:15:54 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:15:54 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:16:04 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:16:04 [temperature] temp_kitchen: 25.772486124849337
sensor-emulator: 2025/03/12 01:16:04 [temperature] temp_bedroom: 22.19898057343867
sensor-emulator: 2025/03/12 01:16:04 [temperature] temp_living_room: 25.659190960833076
sensor-emulator: 2025/03/12 01:16:04 [air_quality] air_kitchen: map[co2:1219 nh3:19]
sensor-emulator: 2025/03/12 01:16:04 [air_quality] air_living_room: map[co2:1355 nh3:24]
sensor-emulator: 2025/03/12 01:16:04 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:16:14 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:16:14 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:16:24 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:16:24 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:16:34 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:16:34 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:16:34 [temperature] temp_kitchen: 18.71617025732136
sensor-emulator: 2025/03/12 01:16:34 [temperature] temp_living_room: 23.147802442014186
sensor-emulator: 2025/03/12 01:16:34 [temperature] temp_bedroom: 18.76880904659825
sensor-emulator: 2025/03/12 01:16:44 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:16:44 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:16:54 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:16:54 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:17:04 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:17:04 [temperature] temp_kitchen: 25.287070878074175
sensor-emulator: 2025/03/12 01:17:04 [temperature] temp_bedroom: 18.873756509519442
sensor-emulator: 2025/03/12 01:17:04 [temperature] temp_living_room: 21.19937887495353
sensor-emulator: 2025/03/12 01:17:04 [air_quality] air_kitchen: map[co2:1696 nh3:22]
sensor-emulator: 2025/03/12 01:17:04 [air_quality] air_living_room: map[co2:1096 nh3:15]
sensor-emulator: 2025/03/12 01:17:04 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:17:14 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:17:14 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:17:24 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:17:24 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:17:34 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:17:34 [temperature] temp_kitchen: 28.32987325648385
sensor-emulator: 2025/03/12 01:17:34 [temperature] temp_bedroom: 24.35556306698905
sensor-emulator: 2025/03/12 01:17:34 [temperature] temp_living_room: 21.342960907564375
sensor-emulator: 2025/03/12 01:17:34 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:17:44 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:17:44 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:17:54 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:17:54 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:18:04 [temperature] temp_kitchen: 26.12914639633583
sensor-emulator: 2025/03/12 01:18:04 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:18:04 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:18:04 [air_quality] air_kitchen: map[co2:1578 nh3:36]
sensor-emulator: 2025/03/12 01:18:04 [temperature] temp_bedroom: 22.500686917247112
sensor-emulator: 2025/03/12 01:18:04 [temperature] temp_living_room: 27.264912761264043
sensor-emulator: 2025/03/12 01:18:04 [air_quality] air_living_room: map[co2:1245 nh3:28]
sensor-emulator: 2025/03/12 01:18:14 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:18:14 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:18:24 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:18:24 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:18:34 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:18:34 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:18:34 [temperature] temp_bedroom: 23.496405490773938
sensor-emulator: 2025/03/12 01:18:34 [temperature] temp_living_room: 26.461092078677385
sensor-emulator: 2025/03/12 01:18:34 [temperature] temp_kitchen: 21.615159880851614
sensor-emulator: 2025/03/12 01:18:44 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:18:44 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:18:54 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:18:54 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:19:04 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:19:04 [air_quality] air_kitchen: map[co2:1731 nh3:32]
sensor-emulator: 2025/03/12 01:19:04 [temperature] temp_bedroom: 20.88568032230133
sensor-emulator: 2025/03/12 01:19:04 [temperature] temp_living_room: 24.76630137127432
sensor-emulator: 2025/03/12 01:19:04 [air_quality] air_living_room: map[co2:1035 nh3:2]
sensor-emulator: 2025/03/12 01:19:04 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:19:04 [temperature] temp_kitchen: 22.141195911417462
sensor-emulator: 2025/03/12 01:19:14 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:19:14 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:19:24 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:19:24 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:19:34 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:19:34 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:19:34 [temperature] temp_bedroom: 16.393842814606174
sensor-emulator: 2025/03/12 01:19:34 [temperature] temp_kitchen: 21.926679502809314
sensor-emulator: 2025/03/12 01:19:34 [temperature] temp_living_room: 27.034924265641447
sensor-emulator: 2025/03/12 01:19:44 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:19:44 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:19:54 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:19:54 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:20:04 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:20:04 [temperature] temp_bedroom: 16.813484309037623
sensor-emulator: 2025/03/12 01:20:04 [air_quality] air_living_room: map[co2:953 nh3:12]
sensor-emulator: 2025/03/12 01:20:04 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:20:04 [temperature] temp_kitchen: 23.58144665841759
sensor-emulator: 2025/03/12 01:20:04 [temperature] temp_living_room: 18.055277438145964
sensor-emulator: 2025/03/12 01:20:04 [air_quality] air_kitchen: map[co2:1046 nh3:20]
sensor-emulator: 2025/03/12 01:20:14 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:20:14 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:20:24 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:20:24 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:20:34 [temperature] temp_living_room: 26.295314437653076
sensor-emulator: 2025/03/12 01:20:34 [temperature] temp_bedroom: 24.724338094855995
sensor-emulator: 2025/03/12 01:20:34 [temperature] temp_kitchen: 22.82940340391132
sensor-emulator: 2025/03/12 01:20:34 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:20:34 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:20:44 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:20:44 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:20:54 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:20:54 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:21:04 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:21:04 [temperature] temp_kitchen: 17.075372979061854
sensor-emulator: 2025/03/12 01:21:04 [temperature] temp_living_room: 19.345751315766343
sensor-emulator: 2025/03/12 01:21:04 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:21:04 [temperature] temp_bedroom: 24.262027248385376
sensor-emulator: 2025/03/12 01:21:04 [air_quality] air_kitchen: map[co2:694 nh3:2]
sensor-emulator: 2025/03/12 01:21:04 [air_quality] air_living_room: map[co2:422 nh3:13]
sensor-emulator: 2025/03/12 01:21:14 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:21:14 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:21:24 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:21:24 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:21:34 [temperature] temp_kitchen: 20.08457891922438
sensor-emulator: 2025/03/12 01:21:34 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:21:34 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:21:34 [temperature] temp_bedroom: 17.353297041683792
sensor-emulator: 2025/03/12 01:21:34 [temperature] temp_living_room: 22.854798250687203
sensor-emulator: 2025/03/12 01:21:44 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:21:44 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:21:54 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:21:54 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:22:04 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:22:04 [temperature] temp_kitchen: 22.89388132228435
sensor-emulator: 2025/03/12 01:22:04 [temperature] temp_bedroom: 24.33345751574126
sensor-emulator: 2025/03/12 01:22:04 [air_quality] air_living_room: map[co2:908 nh3:13]
sensor-emulator: 2025/03/12 01:22:04 [temperature] temp_living_room: 22.890444148880977
sensor-emulator: 2025/03/12 01:22:04 [air_quality] air_kitchen: map[co2:1940 nh3:46]
sensor-emulator: 2025/03/12 01:22:04 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:22:14 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:22:14 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:22:24 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:22:24 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:22:34 [motion] motion_living_room: true
sensor-emulator: 2025/03/12 01:22:34 [motion] motion_hallway: true
sensor-emulator: 2025/03/12 01:22:34 [temperature] temp_kitchen: 18.93169140774867
